1|Society ID
2|12
3|5
4|19
5|42
6|24
7|60
8|6
9|2
10|38
11|69
12|71
13|78
6|24
14|61
15|8
16|51
17|21
14|61
4|19
8|6
8|6
18|1
4|19
19|43
20|76
21|68
22|55
23|16
24|18
12|71
25|53
26|36
2|12
25|53
21|68
7|60
27|59
17|21
28|75
29|13
16|51
30|80
30|80
21|68
31|48
23|16
32|14
33|56
34|58
35|32
25|53
36|27
37|30
38|11
22|55
39|52
40|37
41|28
26|36
31|48
42|31
43|65
44|64
11|69
45|73
20|76
46|62
47|17
41|28
14|61
48|54
20|76
26|36
49|49
48|54
29|13
50|22
22|55
51|39
52|44
44|64
35|32
20|76
52|44
24|18
53|45
25|53
29|13
36|27
32|14
5|42
54|29
7|60
55|50
18|1
30|80
2|12
33|56
56|47
57|67
58|3
59|7
9|2
52|44
15|8
22|55
17|21
29|13
54|29
39|52
41|28
60|77
61|4
62|72
63|10
64|26
39|52
52|44
65|74
33|56
36|27
66|23
67|57
68|35
42|31
69|79
54|29
9|2
44|64
56|47
32|14
70|41
71|20
37|30
63|10
16|51
24|18
42|31
57|67
36|27
66|23
72|46
25|53
73|66
30|80
58|3
58|3
22|55
30|80
12|71
74|34
68|35
53|45
33|56
46|62
51|39
49|49
70|41
61|4
53|45
9|2
7|60
21|68
75|40
30|80
36|27
58|3
30|80
58|3
37|30
32|14
76|70
68|35
11|69
7|60
53|45
56|47
37|30
29|13
5|42
15|8
66|23
61|4
44|64
19|43
71|20
32|14
41|28
48|54
73|66
30|80
70|41
57|67
11|69
63|10
76|70
55|50
31|48
47|17
59|7
56|47
71|20
17|21
55|50
70|41
2|12
63|10
15|8
77|25
12|71
78|63
77|25
57|67
15|8
79|33
27|59
49|49
66|23
80|15
64|26
44|64
54|29
43|65
32|14
66|23
41|28
64|26
32|14
7|60
74|34
70|41
36|27
5|42
34|58
38|11
37|30
53|45
24|18
55|50
18|1
75|40
60|77
71|20
67|57
52|44
71|20
54|29
53|45
79|33
23|16
74|34
27|59
75|40
6|24
49|49
35|32
41|28
34|58
43|65
34|58
51|39
23|16
21|68
67|57
7|60
41|28
29|13
53|45
16|51
53|45
8|6
14|61
76|70
47|17
73|66
29|13
61|4
68|35
20|76
9|2
71|20
6|24
34|58
74|34
77|25
9|2
57|67
61|4
44|64
75|40
34|58
31|48
13|78
77|25
76|70
5|42
46|62
18|1
40|37
10|38
3|5
10|38
72|46
72|46
47|17
17|21
24|18
24|18
29|13
32|14
10|38
33|56
49|49
58|3
13|78
72|46
45|73
32|14
71|20
29|13
49|49
35|32
30|80
18|1
53|45
65|74
80|15
75|40
4|19
13|78
59|7
53|45
56|47
3|5
62|72
58|3
62|72
59|7
21|68
37|30
50|22
56|47
70|41
43|65
73|66
11|69
62|72
45|73
37|30
20|76
30|80
80|15
44|64
23|16
64|26
29|13
54|29
22|55
21|68
14|61
4|19
8|6
14|61
31|48
71|20
68|35
57|67
65|74
81|9
70|41
13|78
